stid,site.name,lat,long,area,type
1712,Moraine Lake,52.264877843558374,-58.04368960323179,208,Lacu
2302,Silver Lake,44.556982368787025,-63.64192235298058,156,Lacu
6507,Ocheda Lake,43.5756447033252,-95.59290146345906,78.5,Lacu
1573,Little Bayou Sara Site 1B,30.919894531634686,-91.44497653748046,301,Fluvial
2513,Starkweather Pond,37.66283867441732,-119.0737985127818,139,Lacu
25,Alexis Lake,52.51939381810244,-57.027731591820356,85,Lacu
823,Hayes Lake,49.586122086974285,-93.74462843815589,50,Lacu
1123,Jack Lake,47.31571307818605,-81.76075352837692,201,Lacu
2215,Rostock Mammoth Site,43.50375834950978,-80.99534147733871,301,Field
213,Arrington Marsh,39.490666739605054,-95.5225670246986,301,Palu
2272,Second Lake,44.844186306070206,-79.97875218143002,247,Lacu
