"","stid","dsid","name","lat","long","area","edited","notes","type","avg_int","max_int","controls","Core top","Biostratigraphic, pollen","Radiocarbon","Radiocarbon, average of two or more dates","Deglaciation","Guess","Tephra","Radiocarbon, reservoir correction","Extrapolated","Core bottom","Annual laminations (varves)","Interpolated","Other dating methods","Radiocarbon, calibrated","Sediment stratigraphic","Ambrosia rise","X23","European settlement horizon","Lead-210","Introduced Pinus rise","Tsuga decline","Radiocarbon, calibrated from calendar years","Radiocarbon, infinite","Heinrich stadials","Interpolated, corrected for compaction","Stratigraphic","Picea decline","Historical fire","Historical documentation","Biostratigraphic","Casuarina rise","Caesium-137","Salsola rise","Geochronologic","Marine isotope stage event"
"38",362,373,"Chism 2",53.090833,-76.339167,4.7,3,"Too many local lakes","Lacu",6430,6430,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",370,381,"Lac Ciel Blanc",59.516667,-122.166667,NA,NA,NA,NA,1988.6,4123,6,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",481,493,"Clearwater Lake",50.873611,-107.933333,59.8409626427899,NA,NA,NA,3240,6430,3,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",484,496,"Coghill Lake",53.9,-66.766667,NA,NA,NA,NA,1266.2,3381,6,1,NA,3,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",488,500,"Comb Lake",49.69,-57.71,NA,NA,NA,NA,7796,7796,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",489,501,"Compass Pond",50.034167,-56.196389,NA,NA,NA,NA,1664,2084,7,1,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",495,507,"Coppermine Saddleback",67.833333,-115.316667,NA,NA,NA,NA,928.75,1990,5,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",496,508,"Lac Côté",48.966944,-65.95,31,1,"Slight nudge.  No pub, but in park is Lac Charles Cote.","Lacu",9810,9810,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",498,510,"Tourbière de Lanoraie COTEAU JAUNE",45.960833,-73.341944,NA,NA,NA,NA,1298,3660,6,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",499,511,"Cottonwood Slough",52.866667,-118.1,24,1,"In dissertation but checked Jasper Park Maps.","Palu",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",503,516,"Cranberry Lake",44.1,-78.1,NA,NA,NA,NA,1861.42857142857,3612,8,1,NA,6,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",506,519,"Crates Lake",49.183333,-81.266667,11.4047474508438,NA,NA,NA,1760,3820,6,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",507,520,"Crawford Lake",43.5,-79.83,2.2,1,"Moved from south of Milton","Lacu",878.5,1738,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",507,16124,"Crawford Lake",43.5,-79.83,2.2,1,"Moved from south of Milton","Lacu",2428.5,6080,5,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",509,522,"Creditview Wetland",43.6,-79.6,NA,NA,NA,NA,1355,1400,3,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",511,524,"Cristal Lake",52.116667,-90.083333,154.743461079255,NA,NA,NA,3360,6370,3,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",512,525,"Crowfoot Lake",51.65,-116.416667,17,1,"In Publication, hopefully distinct from Bow Lake","Lacu",1029.90909090909,2215,12,1,NA,7,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",524,538,"Cummins Pond",48.4075,-89.346667,NA,NA,NA,NA,1003.33333333333,1480,4,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",527,17292,"Cycloid Lake",55.266667,-105.266667,20,1,"From the publication",NA,4260,6000,3,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",533,549,"Daumont",54.883333,-69.4,2,3,"It's close but I can't quite get it lined up based on the picture & map.","Lacu",1372.5,2020,5,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",656,672,"Decoy Lake",43.233333,-80.366667,NA,NA,NA,NA,1961.66666666667,3700,7,1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",658,675,"Delorme 1",54.418889,-69.918889,0.6,3,"Now part of a resevoir.  Impossible to find original site.","Lacu",1776.66666666667,2740,4,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",659,677,"Delorme 2",54.423611,-69.929722,349282.881663447,NA,NA,NA,1264,1680,6,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",660,678,"Lac Demain",62.05,-118.7,NA,NA,NA,NA,2106.4,3070,6,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",667,685,"Devon Island Glacier",75.35,-82.5,NA,NA,NA,NA,11820.2727272727,70000,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",668,686,"Diana Cordeau",60.938889,-69.971944,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",669,688,"Diana 375",60.9875,-69.958333,NA,NA,NA,NA,2273.33333333333,3730,4,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",670,690,"Diana 500",60.978889,-69.991944,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",671,691,"Lac du Diable",48.910833,-66.125,11.9662755565898,NA,NA,NA,2000,4420,7,1,NA,4,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",702,722,"Dosquet",46.45,-71.5,NA,NA,NA,NA,8835,8835,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
