SiteID,site.name,long,lat,state,name_en,feature_id,lake_area_ha,nameMatch,DatasetID
2302,Silver Lake,-63.642778,44.563333,NS,NA,NA,NA,NA,2384
6519,Little Dyke Lake,-63.55975,45.3855,NS,NA,NA,NA,NA,10981
10225,Lantz Site,-63.48817,44.979797,NS,NA,NA,NA,NA,15752
10334,Collins Pond Site (PL-86-56),-61.3427,45.42715,NS,NA,8f9a3cc0885143298a916a58c2d7868e,924760.9848924015,NA,15702
10354,Joggins Section (MS-82-44),-64.7,44.389700000000005,NS,NA,NA,NA,NA,15744
10378,Blomidon Section MS-89-16,-64.3751,45.2235,NS,NA,NA,NA,NA,15796
10485,Brier Island Bog MS-85-22,-66.36777777777775,44.25819444444445,NS,NA,NA,NA,NA,16079
10486,Chance Harbour Lake,-62.610974999999996,45.670215,NS,NA,8cbcdf684472487da3745df5e3e7ee7e,10.833753744682422,NA,16081
10496,Pye Lake,-62.09061,44.9759327777778,NS,NA,1dbcf6d6879e46fa982bddbff6e0d86a,12.523707418295816,NA,16103
11696,Benacadie 4,-60.69363,45.91664,NS,NA,NA,NA,NA,17597
11702,Hillsboro Site,-61.354865000000004,46.06677,NS,NA,NA,NA,NA,17609
11706,Lismore Section,-62.27347,45.70486,NS,NA,NA,NA,NA,17617
11728,East Milford Gypsum Quarry,-63.41798,45.01266,NS,NA,NA,NA,NA,17668
11926,Path Lake,-64.92879500000001,43.87196,NS,NA,168530a981e04decb2687aa041fc4d11,23.4319275825588,NA,18110
206,Andy Lake,-128.083333,64.65,NT,NA,NA,NA,NA,206
241,Beach Lake,-127.05,65.216667,NT,NA,NA,NA,NA,244
248,Bell's Lake,-127.483333,65.016667,NT,NA,NA,NA,NA,253
261,Banks Island 74MS11,-124.266667,71.75,NT,NA,4e5dc3d3280d4d7784d848a3da21b550,1485901.8102861173,NA,267
262,Banks Island 74MS12,-119.833333,72.366667,NT,NA,NA,NA,NA,268
263,Banks Island 74MS15,-120.216667,73.533333,NT,NA,NA,NA,NA,269
660,Lac Demain,-118.7,62.05,NT,NA,NA,NA,NA,678
814,John Klondike Bog,-123.646667,60.356667,NT,NA,NA,NA,NA,3149
1408,Keele Lake,-127.616667,64.166667,NT,NA,NA,NA,NA,1445
1648,M Lake,-133.466667,68.266667,NT,NA,NA,NA,NA,1704
1668,McMaster Lake,-110.583333,64.133333,NT,NA,fa3bbe220b43414ea5f6a741bbfc1851,9.746378703339504,NA,1724
1677,Lac Mélèze,-126.116667,65.216667,NT,NA,NA,NA,NA,1733
1726,Muskox Lake,-122.666667,71.783333,NT,NA,NA,NA,NA,1783
1731,Natla Bog,-128.8,63.016667,NT,NA,NA,NA,NA,1788
